BURBOUN application example, manuscript subm. to Comp. Geosci. January 2024
1,4,4
0.,0.,10.,10.,1.0E-08,21,10
0.00	6.91	2.35	4.90  3.034E-07 1
0.00	3.72	2.35	4.90  3.824E-06 2
0.00	1.38	5.00	2.64  1.099E-05 3
2.35	4.90	2.65	4.64  1.314E-07 4
2.35	4.90	5.74	6.60  3.214E-06 5
2.65	4.64	5.00	2.64  2.653E-07 6
2.65	4.64	5.26	5.23  5.103E-06 7
5.00	2.64	6.59	1.28  3.016E-07 8
5.00	2.64	6.04	2.90  1.275E-05 9
6.59	1.28	8.09	0.00  3.067E-07 10
5.26	5.23	6.04	2.90  5.143E-07 11
5.26	5.23	6.62	5.54  4.582E-06 12
6.04	2.90	6.59	1.28  6.376E-07 13
6.04	2.90	8.29	3.47  1.028E-05 14
2.98	10.00	5.74	6.60  1.798E-07 15
5.74	6.60	6.62	5.54  1.934E-07 16
6.62	5.54	6.88	5.21  5.684E-08 17
6.62	5.54	10.00	6.30  4.524E-06 18
6.88	5.21	8.29	3.47  1.973E-07 19
6.88	5.21	10.00	5.11  2.076E-06 20
8.29	3.47	10.00	1.38  2.158E-07 21
 1  2  2  2  4  1  5  1
 4  2  6  1  7  1  0  0
 6  2  3  2  8  1  9  1
 8  2 10  1 13  2  0  0
 7  2 11  1 12  1  0  0
11  2  9  2 13  1 14  1
15  2  5  2 16  1  0  0
16  2 12  2 17  1 18  1
17  2 20  1 19  1  0  0
14  2 19  2 21  1  0  0
 
 
 
 
 
 
 
     




















